,under15,15_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85up,Male,Female,never_mar,married,mar_apart,widowed,divorced,lt_hs,some_hs,hs_grad,some_col,assoc_dec,ba_deg,grad_deg,not_in_labor_force,employed,unemployed,below_pov_level,at_above_pov_level,Overdose,No_overdose,Insured,Uninsured,Veteran,Not_veteran,FIPS
"Chemung County, New York",0.179752741,0.037881969,0.083496618,0.060975041,0.061651505,0.058024259,0.060461861,0.06170982,0.073244693,0.074399347,0.06973408,0.059027292,0.039736412,0.02934453,0.021915092,0.02864474,0.496337765,0.503662235,0.438710054,0.372696524,0.04602286,0.054373688,0.088196874,0.200828085,0.098530441,0.283986471,0.155341731,0.08965477,0.095579659,0.076078843,0.529729415,0.446757639,0.023512946,0.145707954,0.854292046,NA,NA,0.959062281,0.040937719,0.070562165,0.929437835,36015
"Chenango County, New York",0.169955324,0.039794821,0.077541987,0.05625879,0.052018698,0.052163481,0.056465624,0.06660048,0.075473649,0.084015885,0.072391826,0.06800695,0.04707537,0.037643749,0.022958551,0.021634814,0.501096219,0.498903781,0.393873583,0.398279143,0.042338876,0.059154463,0.106353934,0.191962439,0.115392571,0.306962025,0.157069579,0.091193017,0.077831555,0.059588814,0.505170845,0.466658393,0.028170762,0.144535451,0.855464549,NA,NA,0.950980392,0.049019608,0.074708364,0.925291636,36017
"Clinton County, New York",0.148439241,0.031462732,0.139923757,0.064509741,0.061068891,0.063358665,0.052739065,0.06381662,0.073322276,0.073681214,0.068594203,0.051526103,0.040027725,0.028578855,0.020521326,0.018429586,0.513639627,0.486360373,0.450454242,0.369445751,0.038443449,0.053555957,0.088100602,0.178181548,0.099363814,0.294192638,0.178973686,0.079783152,0.092185063,0.077320098,0.51406045,0.464626086,0.021313464,0.15971483,0.84028517,NA,NA,0.949216526,0.050783474,0.072864322,0.927135678,36019
"Columbia County, New York",0.142369376,0.03762373,0.071373463,0.054268783,0.052676505,0.05645201,0.050115727,0.067811356,0.079630329,0.081698649,0.08311036,0.074886324,0.054301614,0.039839787,0.028119306,0.025722681,0.500582741,0.499417259,0.410807794,0.397806924,0.039889033,0.056123705,0.095372544,0.169273954,0.093090826,0.253976592,0.144848077,0.094847256,0.129762471,0.114200824,0.477568575,0.496134211,0.026297214,0.122326368,0.877673632,NA,NA,0.941988542,0.058011458,0.067680034,0.932319966,36021
"Cortland County, New York",0.161482036,0.03459884,0.177150219,0.060573946,0.053009995,0.047627953,0.053758078,0.060844087,0.066330029,0.072605615,0.055191904,0.05654261,0.034868982,0.025538724,0.018182574,0.021694408,0.489370987,0.510629013,0.495417991,0.356045966,0.030110342,0.045425264,0.073000436,0.17972695,0.084076221,0.237828066,0.225235334,0.092388255,0.106248571,0.074496602,0.470149409,0.506098955,0.023751636,0.166032874,0.833967126,NA,NA,0.956154022,0.043845978,0.057602394,0.942397606,36023
"Delaware County, New York",0.136917059,0.035690739,0.104610786,0.049734078,0.047909982,0.045646345,0.048415454,0.061206101,0.073469298,0.081534878,0.082018373,0.07412861,0.060898422,0.040745462,0.029317393,0.027757022,0.504219595,0.495780405,0.392092655,0.404487715,0.041492682,0.065865237,0.096061712,0.159861105,0.104918465,0.312909323,0.162322535,0.095534262,0.095072744,0.069381566,0.511515977,0.463627972,0.02485605,0.144125533,0.855874467,NA,NA,0.941914641,0.058085359,0.072612193,0.927387807,36025
"Dutchess County, New York",0.154950424,0.039170585,0.110168972,0.059739226,0.05533968,0.056639469,0.058585749,0.07158023,0.081093864,0.078307145,0.068718654,0.053597556,0.039827285,0.028595344,0.021415885,0.022269934,0.4973698,0.5026302,0.440907266,0.389378483,0.042685458,0.048367779,0.078661014,0.178993106,0.093176451,0.214543339,0.174273718,0.082519548,0.145790659,0.110703179,0.460832817,0.507278134,0.031889048,0.095714782,0.904285218,0.000159922,0.999840078,0.948535867,0.051464133,0.050623694,0.949376306,36027
"Erie County, New York",0.167512442,0.037455455,0.095242133,0.074685878,0.065187756,0.055896185,0.054441625,0.063825601,0.070686383,0.075106592,0.067617457,0.052935971,0.041687594,0.028672654,0.022353256,0.026693018,0.48376394,0.51623606,0.472402502,0.355159338,0.030529447,0.057588823,0.08431989,0.188192628,0.086441938,0.219783099,0.16633401,0.08899231,0.144454736,0.10580128,0.472765598,0.501964417,0.025269985,0.144765651,0.855234349,0.000159806,0.999840194,0.955808781,0.044191219,0.058279141,0.941720859,36029
"Essex County, New York",0.132393844,0.035151387,0.071388837,0.063150645,0.056501815,0.063865858,0.049800005,0.064448624,0.077666817,0.088500967,0.07668671,0.074726497,0.049958941,0.040581706,0.028078726,0.02709862,0.519774311,0.480225689,0.387009616,0.407035575,0.040767132,0.069031284,0.096156393,0.155677995,0.091414797,0.279992583,0.165876401,0.090355222,0.127016503,0.089666499,0.502158883,0.467855156,0.029985961,0.103308522,0.896691478,NA,NA,0.954809144,0.045190856,0.071415327,0.928584673,36031
"Franklin County, New York",0.161327231,0.034206581,0.100449775,0.071549751,0.067328178,0.058391857,0.060680186,0.071727294,0.074844157,0.071510297,0.068570978,0.053637655,0.040755938,0.029255109,0.019943975,0.015821037,0.548725637,0.451274363,0.458316894,0.349187248,0.055393356,0.04766038,0.089442121,0.196875247,0.112719956,0.301921408,0.158841632,0.086700071,0.072141561,0.070800126,0.559614929,0.407243747,0.033141324,0.191647597,0.808352403,NA,NA,0.930935848,0.069064152,0.067032273,0.932967727,36033
